lat;long;featured
34.0522342;-118.2436849;A
34.0596282;-118.2956314;A
34.0596282;-118.2956314;A
34.0596282;-118.2956314;A
34.0596282;-118.2956314;A
34.0596282;-118.2956314;A
34.049042;-118.371655;A
34.049042;-118.371655;A
36.7916817;-119.4411476;A
42.7184961;12.1107467;A
46.5404711;12.1356524;A
45.4412034;12.3154028;A
45.4589863;12.3523452;A
45.4589863;12.3523452;A
45.4589863;12.3523452;A
45.4640075;12.4488675;A
41.9027677;12.452761;A
41.9027677;12.452761;A
41.902916;12.453389;A
41.902916;12.453389;A
41.902916;12.453389;A
41.902916;12.453389;A
41.9030474;12.4538638;A
41.9030474;12.4538638;A
41.902218;12.456796;A
41.9015052;12.4607746;A
45.4453212;12.4609562;A
41.8984826;12.46916;A
45.4531539;12.4726592;A
45.452796;12.4897021;A
45.452741;12.4897522;A
45.452556;12.4897543;A
45.4524623;12.4897749;A
41.8902102;12.4922309;A
44.0678288;12.5695158;A
43.075560781502;12.60552036709;A
55.6571378;12.6094233;A
55.6571378;12.6094233;A
55.6571378;12.6094233;A
41.9603926;12.8017178;A
37.5745045;12.9050017;B
34.9530472;-120.4357191;A
37.4242124;-122.1666272;A
37.4242124;-122.1666272;B
54.4438114;-124.2543208;A
55.2476061;-127.5917095;A
55.2476061;-127.5917095;A
43.4806749;13.0796291;A
43.4806749;13.0796291;A
38.115641;13.3614085;A
52.52813460553;13.384369263754;A
52.5200066;13.404954;B
9.6893454;-13.5555122;A
48.0034338;13.6573166;A
41.555449398134;13.965486;A
35.6894875;139.6917064;A
35.66512;139.696747;A
42.4619397;14.2160903;A
40.8517989;14.268324;A
50.0875692;14.4211875;B
50.0875692;14.4211875;A
50.0875692;14.4211875;B
45.3273933;14.4362813;B
48.3846855;14.552415;A
37.3981476;14.6585033;A
43.7332833;15.8953794;B
23.7608047;-15.9219956;A
21.3069444;-157.8583333;A
58.663794938935;-16.268889;A
48.207830463674;16.338532875;A
48.200494;16.3727795;B
48.2081743;16.3738189;A
43.5081323;16.4401935;A
53.5775;-16.972014;A
47.91296427332;17.147534984131;A
47.9117445;17.156071;A
40.4716552;17.2383792;A
14.7821868;-17.3765268;B
54.301776706249;-17.85092025;A
-40.8705484;175.0081309;A
59.3330885;18.0646129;B
54.5188898;18.5305409;A
54.5188898;18.5305409;A
54.3520252;18.6466384;B
47.500329480889;19.024715423584;A
47.4975437;19.0401636;A
51.951796;19.1549753;A
48.801408;2.130122;A
55.901447289628;-2.1332364126587;B
48.8102307;2.1397137;A
41.4144948;2.1526945;A
48.6798059;2.178683;A
41.357624844668;2.178810833374;A
46.227638;2.213749;A
49.275237;2.278363;A
48.8522264;2.2793141;B
48.86288;2.287205;A
48.86288;2.287205;A
48.8622808;2.2875596;A
48.8598093;2.2918031;A
48.8558183;2.298721;A
48.8558183;2.298721;A
48.8558183;2.298721;A
48.8558183;2.298721;A
44.1913161;2.299848;A
48.867214;2.3117245;B
48.867214;2.3117245;B
48.8661091;2.3124544;A
48.8634533;2.3135025;A
48.81614252807;2.3166361550674;A
48.8292165;2.317529;A
48.8296686;2.3179781;A
48.8296686;2.3179781;A
48.8320821;2.322308;A
48.8289021;2.3300724;A
48.8621274;2.3309388;A
48.8288853;2.3312974;A
48.8287818;2.3314236;A
48.8686084;2.3331168;A
48.8553595;2.3344054;A
48.8553595;2.3344054;A
48.8808341;2.3350153;A
48.8819737;2.3350481;A
48.8867046;2.3431043;A
48.843944;2.3450886;A
48.843944;2.3450886;A
48.843944;2.3450886;A
48.8474449;2.348743;A
48.8529682;2.3499021;A
48.8514365;2.3500551;A
48.8486795;2.3504631000001;A
48.8566719;2.3509649;A
48.8488967;2.3510182;A
48.8488967;2.3510182;A
48.8488967;2.3510182;A
48.8488967;2.3510182;A
48.8488967;2.3510182;A
48.8488967;2.3510182;A
48.8488967;2.3510182;A
48.8564122;2.3515106;A
48.8593707;2.3516447;A
48.856614;2.3522219;A
48.856614;2.3522219;A
48.856614;2.3522219;B
48.856614;2.3522219;B
48.856614;2.3522219;A
48.856614;2.3522219;A
48.856614;2.3522219;A
48.856614;2.3522219;B
48.856614;2.3522219;A
48.856614;2.3522219;A
48.856908;2.352426;A
48.856908;2.352426;A
48.8455452;2.3559424;A
48.887442521803;2.3734276419957;A
48.8328763;2.376496;A
48.834876;2.405488;A
48.834876;2.405488;A
48.834876;2.405488;A
48.834876;2.405488;A
48.8205669;2.423655;B
48.8205669;2.423655;A
49.5046018;-2.5067407;A
48.5259239;2.580521;A
45.9014522;2.6943223;A
45.3406091;2.7575415;A
45.5751601;2.8091799;A
43.1273948;2.8984434;A
53.3879509;-2.9558412;A
42.600336;2.970433;B
42.600336;2.970433;A
47.1621355;20.1824712;A
47.1621355;20.1824712;A
53.992911797142;-20.487639;A
52.2299673;21.0136962;A
52.2299673;21.0136962;A
47.5288879;21.6254485;A
47.5288879;21.6254485;A
48.402083922212;22.183628082275;A
48.402083922212;22.183628082275;A
48.4340432;22.2101042;A
37.9791768;23.7166045;A
49.878348721007;-24.706389;A
59.4369608;24.7535747;A
60.1726348;24.9510419;A
55.808471;25.168579;A
44.4267674;26.1025384;A
44.4267674;26.1025384;A
44.4267674;26.1025384;A
44.4267674;26.1025384;A
48.189081456317;27.363533089577;A
-26.1783499;27.941;B
-28.5143573;28.4104684;A
-26.4831655;29.2246862;A
-26.4831655;29.2246862;A
28.7666216;29.2320784;A
-3.3745373;29.9164281;A
31.2000924;29.9187387;A
36.752887;3.042048;A
36.753768;3.0587561;A
43.3148346;3.1383661;A
51.4844804;-3.2211786;A
51.4844804;-3.2211786;A
47.4618706;3.2552576;A
46.131859;3.425488;A
46.131859;3.425488;A
50.7248515;-3.5213464999999;A
40.463667;-3.74922;A
40.463667;-3.74922;A
40.463667;-3.74922;A
43.6074799;3.8728972;A
45.0431503;3.8835668;A
47.995218;-3.890365;A
59.925973;30.2981332;B
50.4501;30.5234;A
26.820553;30.802498;A
29.9899772;31.1638933;A
48.379433;31.16558;A
29.8402707;31.2982121;A
29.8402707;31.2982121;A
29.8402707;31.2982121;A
22.337037782795;31.625580559863;A
31.2652893;32.3018661;A
31.2652893;32.3018661;A
30.5578479;32.3388628;A
29.9395397;32.5614595;A
24.088938;32.8998293;A
17.119487;33.7649252;A
31.3546763;34.3088255;A
32.0852999;34.7817676;A
31.7632006;35.1882493;A
31.7632006;35.1882493;A
31.768319;35.21371;A
31.774378;35.222617;A
30.3284544;35.4443622;A
30.3284544;35.4443622;A
57.517982552885;35.567047903954;A
33.8670165;35.5719606;A
30.1926637;35.7249409;A
15.4581332;36.4039629;A
15.4581332;36.4039629;A
45.116207418777;36.922212551056;A
55.715762;37.5537157;A
55.755826;37.6173;A
55.755826;37.6173;A
55.755826;37.6173;B
55.755826;37.6173;A
55.7539303;37.620795;A
55.7535346;37.6208602;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
8.9806034;38.7577605;A
9.7120181;38.8476348;A
